LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0425791
b(m^-1),0.104066
c(m^-1),0.146645
Dmin,0.1
Dmax,100
k,1e+21
Junge,4
bulk ref index,(1.05,0.005)
#photons,1000000
distance,signal,co,cross
0.754259,0.00219758,-0.000575531,0.00211282,3.08421e-05
0.757719,0.00216584,-0.00057329,0.00208053,3.05227e-05
0.761179,0.00213399,-0.000571099,0.00204803,2.9567e-05
0.764639,0.0021051,-0.000569494,0.00201846,2.78909e-05
0.768099,0.00208115,-0.000568705,0.00199389,2.61781e-05
0.771559,0.0020594,-0.000568147,0.00197158,2.53975e-05
0.775018,0.00203691,-0.00056729,0.00194855,2.52783e-05
0.778478,0.00201346,-0.000566028,0.00192461,2.5533e-05
0.781938,0.0019882,-0.000564169,0.00189892,2.6512e-05
0.785398,0.00195903,-0.000561449,0.00186925,2.74913e-05
0.788858,0.00192877,-0.000558412,0.00183851,2.78595e-05
0.792318,0.00189899,-0.000555311,0.00180828,2.80856e-05
0.795778,0.00186738,-0.000551859,0.00177613,2.81935e-05
0.799238,0.00183683,-0.000548739,0.00174496,2.71315e-05
0.802698,0.00181058,-0.000546522,0.00171807,2.54677e-05
0.806158,0.00178822,-0.000544996,0.00169514,2.39142e-05
0.809617,0.00176722,-0.000543554,0.00167362,2.34084e-05
0.813077,0.00174379,-0.000541558,0.00164964,2.33112e-05
0.816537,0.00171946,-0.000539416,0.00162467,2.28081e-05
0.819997,0.00169659,-0.000537665,0.00160109,2.16474e-05
0.823457,0.001677,-0.000536624,0.00158079,2.00668e-05
0.826917,0.00166047,-0.000536121,0.00156361,1.89018e-05
0.830377,0.00164435,-0.000535594,0.00154687,1.8455e-05
0.833837,0.00162784,-0.000534854,0.00152978,1.83999e-05
0.837297,0.00161075,-0.000533767,0.00151216,1.87098e-05
0.840757,0.00159177,-0.000532052,0.00149271,1.96449e-05
0.844217,0.00157016,-0.000529674,0.00147059,2.04452e-05
0.847676,0.00154804,-0.000527069,0.00144796,2.08084e-05
0.851136,0.00152596,-0.000524311,0.00142542,2.11186e-05
0.854596,0.00150245,-0.000521197,0.0014014,2.14461e-05
0.858056,0.00147882,-0.000518159,0.00137715,2.08684e-05
0.861516,0.00145821,-0.00051592,0.00135587,1.95305e-05
0.864976,0.0014408,-0.000514408,0.00133779,1.81246e-05
0.868436,0.00142546,-0.00051324,0.00132191,1.7296e-05
0.871896,0.00140899,-0.000511677,0.0013049,1.72778e-05
0.875356,0.00139092,-0.000509694,0.00128622,1.72167e-05
0.878816,0.00137263,-0.000507722,0.00126725,1.66707e-05
0.882275,0.00135598,-0.000506243,0.00124983,1.55501e-05
0.885735,0.00134204,-0.000505443,0.00123515,1.41987e-05
0.889195,0.00133001,-0.000505027,0.00122241,1.32885e-05
0.892655,0.00131809,-0.00050457,0.0012098,1.28927e-05
0.896115,0.00130626,-0.000504057,0.0011973,1.27366e-05
0.899575,0.00129416,-0.000503289,0.0011846,1.29327e-05
0.903035,0.00128073,-0.000501966,0.00117065,1.36982e-05
0.906495,0.00126513,-0.000499998,0.0011545,1.44863e-05
0.909955,0.00124916,-0.00049788,0.00113797,1.48596e-05
0.913415,0.00123316,-0.000495583,0.00112148,1.51861e-05
0.916875,0.00121629,-0.000492933,0.00110415,1.56862e-05
0.920334,0.00119822,-0.000489989,0.00108551,1.5817e-05
0.923794,0.00118094,-0.000487352,0.00106758,1.51105e-05
0.927254,0.00116635,-0.000485557,0.00105227,1.38712e-05
0.930714,0.00115417,-0.000484394,0.0010394,1.27216e-05
0.934174,0.00114306,-0.000483393,0.0010277,1.21999e-05
0.937634,0.00113083,-0.000481965,0.00101489,1.22842e-05
0.941094,0.00111733,-0.000480132,0.00100078,1.23467e-05
0.944554,0.00110338,-0.000478193,0.000986142,1.20307e-05
0.948014,0.00109047,-0.000476657,0.000972451,1.11539e-05
0.951474,0.00107969,-0.000475791,0.000960847,9.96577e-06
0.954933,0.00107064,-0.000475386,0.000951016,9.03219e-06
0.958393,0.00106187,-0.000474991,0.000941497,8.59298e-06
0.961853,0.00105312,-0.000474588,0.000931972,8.27013e-06
0.965313,0.00104484,-0.000474253,0.00092295,8.14847e-06
0.968773,0.00103618,-0.000473604,0.000913661,8.50663e-06
0.972233,0.00102588,-0.00047228,0.00090279,9.3249e-06
0.975693,0.00101413,-0.000470477,0.000890429,9.88982e-06
0.979153,0.00100282,-0.000468776,0.0008785,1.00991e-05
0.982613,0.00099144,-0.000466881,0.000866604,1.04884e-05
0.986073,0.000978929,-0.000464489,0.00085361,1.10804e-05
0.989532,0.000965446,-0.000461797,0.000839575,1.13417e-05
0.992992,0.000952148,-0.000459204,0.00082565,1.09854e-05
0.996452,0.000940496,-0.000457264,0.000813265,9.98183e-06
0.999912,0.000931278,-0.000456179,0.000803287,8.86865e-06
1.00337,0.00092326,-0.00045539,0.000794565,8.20419e-06
1.00683,0.000914906,-0.000454377,0.00078558,8.18416e-06
1.01029,0.000905473,-0.000452931,0.000775508,8.35452e-06
1.01375,0.000895207,-0.000451146,0.000764603,8.45455e-06
1.01721,0.000884668,-0.000449289,0.000753347,8.1484e-06
1.02067,0.000875143,-0.000447881,0.000742997,7.30333e-06
1.02413,0.000867489,-0.000447177,0.000734469,6.26537e-06
1.02759,0.000860997,-0.000446848,0.000727128,5.50062e-06
1.03105,0.000854572,-0.000446476,0.000719889,5.18558e-06
1.03451,0.000847938,-0.000446023,0.000712397,4.87717e-06
1.03797,0.000842145,-0.000445879,0.000705741,4.56559e-06
1.04143,0.000836505,-0.000445646,0.000699339,4.72882e-06
1.04489,0.000829735,-0.00044483,0.000691904,5.40927e-06
1.04835,0.000821309,-0.000443305,0.000682845,6.13775e-06
1.05181,0.000812732,-0.000441738,0.000673566,6.31591e-06
1.05527,0.000805116,-0.000440481,0.000665285,6.44433e-06
1.05873,0.00079691,-0.000438819,0.000656539,7.02101e-06
1.06219,0.000787332,-0.00043653,0.000646449,7.65714e-06
1.06565,0.000777285,-0.000434072,0.000635838,7.84906e-06
1.06911,0.000767389,-0.000431667,0.000625316,7.64323e-06
1.07257,0.000758357,-0.000429689,0.000615542,6.81553e-06
