LidarMCplusplus.cpp input file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.00425791
b(m^-1),0.0104066
c(m^-1),0.0146645
Dmin,0.1
Dmax,100
k,1e+20
Junge,4
bulk ref index,(1.05,0.005)
#photons,100000
distance,signal,co,cross
0.875356,0.000287304,-0.000112907,0.000263271,1.72167e-06
0.878816,0.000285133,-0.000113076,0.000260834,1.66707e-06
0.882275,0.000283135,-0.000113294,0.000258543,1.55501e-06
0.885735,0.000281399,-0.000113578,0.000256535,1.41987e-06
0.889195,0.000279863,-0.000113901,0.000254712,1.32885e-06
0.892655,0.000278329,-0.00011422,0.000252902,1.28927e-06
0.896115,0.000276813,-0.000114533,0.000251103,1.27366e-06
0.899575,0.00027527,-0.000114819,0.000249284,1.29327e-06
0.903035,0.000273594,-0.00011505,0.000247331,1.36982e-06
0.906495,0.000271701,-0.000115215,0.000245167,1.44863e-06
0.909955,0.000269771,-0.000115366,0.000242956,1.48596e-06
0.913415,0.000267838,-0.000115497,0.000240749,1.51861e-06
0.916875,0.000265818,-0.000115593,0.000238458,1.56862e-06
0.920334,0.000263678,-0.000115659,0.000236027,1.5817e-06
0.923794,0.000261617,-0.000115755,0.000233676,1.51105e-06
0.927254,0.000259825,-0.000115935,0.000231578,1.38712e-06
0.930714,0.000258283,-0.000116177,0.000229724,1.27216e-06
0.934174,0.000256839,-0.000116435,0.000227987,1.21999e-06
0.937634,0.000255292,-0.00011665,0.000226139,1.22842e-06
0.941094,0.000253609,-0.000116824,0.000224152,1.23467e-06
0.944554,0.00025189,-0.000116986,0.000222121,1.20307e-06
0.948014,0.000250275,-0.000117188,0.000220176,1.11539e-06
0.951474,0.000248873,-0.000117456,0.00021844,9.96577e-07
0.954933,0.000247644,-0.000117769,0.000216881,9.03219e-07
0.958393,0.000246443,-0.000118083,0.000215344,8.59298e-07
0.961853,0.000245244,-0.000118396,0.000213815,8.27013e-07
0.965313,0.000244092,-0.000118714,0.000212328,8.14847e-07
0.968773,0.000242902,-0.000119,0.000210814,8.50663e-07
0.972233,0.000241557,-0.000119218,0.000209142,9.3249e-07
0.975693,0.000240058,-0.000119388,0.000207321,9.88982e-07
