LidarMCplusplus.cpp output file:
Radius(m),0.15
FOV(rad),0.174533
a(m^-1),0.0550804
b(m^-1),0.599519
c(m^-1),0.6546
Junge,4
bulk ref index,(1.05,0.001)
#photons,10000000
distance,signal,co,cross,nScat,angleDet
0.449024,0.838793,0.415647,0.423145,2,0.15567
0.173356,0.915856,0.692707,0.22315,1,0.17431
7.4205,0.453363,0.218939,0.234424,9,0.156605
1.25734,0.768214,0.382969,0.385245,3,0.0941484
0.245608,0.838793,0.348009,0.490784,2,0.128487
0.142349,0.915856,0.452158,0.463699,1,0.169922
1.02573,0.915856,0.560845,0.355011,1,0.131721
0.611342,0.838793,0.147481,0.691312,2,0.151432
0.527374,0.838793,0.383271,0.455522,2,0.133258
1.11821,0.915856,0.591398,0.324459,1,0.131246
0.550248,0.915856,0.737391,0.178465,1,0.0778394
1.65795,0.838793,0.623995,0.214798,2,0.0762206
0.436904,0.838793,0.171193,0.6676,2,0.155905
0.453974,0.915856,0.565973,0.349884,1,0.117282
0.765875,0.915856,0.91521,0.000645884,1,0.162053
2.76702,0.590152,0.297908,0.292245,6,0.0478164
16.8276,0.188243,0.0950635,0.09318,19,0.173922
2.95537,0.644372,0.31135,0.333022,5,0.101609
4.58967,0.703573,0.429023,0.274551,4,0.00548507
0.165335,0.915856,0.61427,0.301587,1,0.130909
0.450667,0.915856,0.493956,0.4219,1,0.0433863
0.725415,0.915856,0.510081,0.405776,1,0.137258
0.695596,0.838793,0.258298,0.580495,2,0.0282905
0.53559,0.838793,0.343768,0.495025,2,0.0781521
0.143302,0.915856,0.851165,0.0646917,1,0.127291
0.0838339,0.915856,0.492414,0.423442,1,0.171839
0.689075,0.838793,0.451821,0.386971,2,0.111241
1.53861,0.915856,0.471564,0.444293,1,0.0852565
2.39111,0.768214,0.37385,0.394364,3,0.137983
0.172,0.838793,0.159516,0.679277,2,0.0713666
0.555843,0.838793,0.195828,0.642964,2,0.041565
2.06209,0.768214,0.316143,0.452071,3,0.0954226
0.26686,0.838793,0.381648,0.457145,2,0.0410602
0.560278,0.838793,0.224199,0.614594,2,0.119503
1.53684,0.838793,0.20968,0.629113,2,0.150436
0.967271,0.768214,0.429442,0.338772,3,0.16033
1.5705,0.768214,0.392654,0.37556,3,0.153338
1.00082,0.838793,0.117652,0.72114,2,0.127736
0.401292,0.915856,0.584055,0.331801,1,0.131357
0.424355,0.915856,0.915728,0.000128142,1,0.0700699
0.207469,0.915856,0.60225,0.313606,1,0.157004
0.187771,0.915856,0.58115,0.334706,1,0.131402
0.306502,0.915856,0.471893,0.443963,1,0.133582
1.65365,0.768214,0.590596,0.177618,3,0.0323864
0.49592,0.915856,0.662308,0.253549,1,0.118891
1.54245,0.644372,0.321653,0.322719,5,0.144523
1.53917,0.915856,0.660702,0.255154,1,0.0595935
0.291308,0.838793,0.496063,0.34273,2,0.141118
2.51423,0.644372,0.322186,0.322187,5,0.00320603
0.236644,0.915856,0.626506,0.28935,1,0.173604
0.381546,0.915856,0.810688,0.105169,1,0.0260643
1.38302,0.915856,0.466327,0.449529,1,0.0884526
0.32863,0.915856,0.482922,0.432934,1,0.1116
0.344938,0.838793,0.499191,0.339602,2,0.144545
0.124029,0.915856,0.911835,0.00402166,1,0.0713543
0.234974,0.838793,0.559109,0.279684,2,0.115342
1.14661,0.838793,0.346265,0.492528,2,0.134385
1.1673,0.838793,0.416077,0.422716,2,0.115344
0.418099,0.768214,0.608448,0.159766,3,0.0359126
0.441511,0.915856,0.837611,0.0782455,1,0.0238754
1.24226,0.768214,0.320887,0.447327,3,0.095194
0.274309,0.915856,0.535942,0.379914,1,0.151184
4.84175,0.590152,0.316954,0.273198,6,0.155103
1.02509,0.768214,0.393847,0.374367,3,0.0973051
0.470963,0.838793,0.130953,0.70784,2,0.150423
0.231179,0.915856,0.872983,0.0428733,1,0.0984578
0.874417,0.838793,0.416412,0.422381,2,0.148633
1.03267,0.768214,0.349424,0.41879,3,0.127815
3.76655,0.590152,0.293894,0.296259,6,0.0977015
1.46957,0.915856,0.722843,0.193014,1,0.0781879
1.3343,0.768214,0.208116,0.560098,3,0.167292
1.1224,0.768214,0.433047,0.335167,3,0.134954
0.208184,0.915856,0.868305,0.047551,1,0.142632
0.696097,0.838793,0.254335,0.584458,2,0.117422
0.48815,0.838793,0.312415,0.526378,2,0.164189
3.64424,0.703573,0.293738,0.409836,4,0.0311942
0.94299,0.838793,0.345985,0.492808,2,0.0788674
0.591851,0.838793,0.426299,0.412494,2,0.16667
0.268403,0.915856,0.9122,0.00365646,1,0.010957
5.63877,0.495016,0.191998,0.303018,8,0.139954
0.95383,0.838793,0.426263,0.41253,2,0.134803
1.02786,0.915856,0.545549,0.370307,1,0.091349
0.234526,0.915856,0.874034,0.0418224,1,0.126773
0.843382,0.838793,0.323017,0.515776,2,0.134724
8.21221,0.495016,0.258763,0.236253,8,0.0583711
0.957299,0.768214,0.375304,0.392909,3,0.0598226
1.18362,0.768214,0.254708,0.513506,3,0.0879825
0.6096,0.915856,0.686275,0.229581,1,0.149173
0.0235578,0.915856,0.476114,0.439742,1,0.136458
1.18848,0.838793,0.309777,0.529016,2,0.024078
3.75961,0.644372,0.320451,0.323921,5,0.101896
0.521368,0.915856,0.90686,0.00899609,1,0.123772
0.440499,0.838793,0.657715,0.181078,2,0.155116
0.637024,0.768214,0.138856,0.629357,3,0.165565
0.844307,0.768214,0.37701,0.391204,3,0.14349
0.865791,0.838793,0.440795,0.397998,2,0.0983257
0.870562,0.915856,0.559754,0.356103,1,0.150822
0.703189,0.768214,0.288744,0.47947,3,0.127777
9.77595,0.318974,0.159214,0.15976,13,0.15115
1.54916,0.838793,0.340723,0.49807,2,0.052322
0.768834,0.915856,0.468181,0.447675,1,0.0515874
1.0075,0.768214,0.0611308,0.707083,3,0.109172
0.32296,0.915856,0.489557,0.426299,1,0.152043
0.759733,0.768214,0.439219,0.328995,3,0.16673
1.94978,0.540495,0.264342,0.276152,7,0.0647242
0.363662,0.703573,0.49462,0.208953,4,0.119013
5.27673,0.34828,0.174231,0.174049,12,0.0917242
0.488081,0.915856,0.884435,0.0314209,1,0.103249
2.32802,0.644372,0.287025,0.357347,5,0.0738795
2.58831,0.540495,0.269039,0.271456,7,0.0795191
1.07178,0.768214,0.208964,0.55925,3,0.0775948
0.222336,0.915856,0.449878,0.465979,1,0.170409
0.542646,0.838793,0.469972,0.368821,2,0.162856
1.18448,0.768214,0.424938,0.343276,3,0.116685
0.387491,0.915856,0.737227,0.178629,1,0.106536
1.32697,0.768214,0.446788,0.321426,3,0.102556
0.997957,0.838793,0.0206849,0.818108,2,0.084944
0.639314,0.915856,0.762619,0.153237,1,0.158935
6.68692,0.590152,0.280888,0.309265,6,0.054962
0.671049,0.838793,0.464202,0.374591,2,0.167032
0.176173,0.915856,0.573889,0.341968,1,0.156633
0.183475,0.915856,0.587249,0.328607,1,0.156811
0.782959,0.838793,0.133509,0.705284,2,0.147408
0.0944182,0.768214,0.345099,0.423115,3,0.138988
0.5302,0.915856,0.579143,0.336713,1,0.0386475
1.64597,0.768214,0.389818,0.378396,3,0.108901
0.36264,0.915856,0.507331,0.408525,1,0.0836819
0.890261,0.838793,0.497186,0.341607,2,0.0636086
0.152472,0.915856,0.623145,0.292711,1,0.108507
1.87809,0.768214,0.4325,0.335714,3,0.143453
0.230182,0.915856,0.805175,0.110682,1,0.164847
1.25683,0.768214,0.453432,0.314782,3,0.0774615
0.440617,0.915856,0.914531,0.00132487,1,0.144883
0.273308,0.915856,0.913722,0.00213412,1,0.144974
2.20527,0.768214,0.610946,0.157268,3,0.142727
0.555357,0.838793,0.0896697,0.749123,2,0.160477
12.9623,0.34828,0.178958,0.169322,12,0.128984
1.02791,0.915856,0.704041,0.211816,1,0.129646
1.4044,0.644372,0.32728,0.317092,5,0.114375
0.423647,0.915856,0.852161,0.0636951,1,0.0224894
4.69028,0.495016,0.242498,0.252518,8,0.141768
0.202788,0.838793,0.255918,0.582875,2,0.111376
0.695852,0.838793,0.646603,0.19219,2,0.118845
0.220656,0.768214,0.339001,0.429213,3,0.102401
0.235295,0.915856,0.763212,0.152644,1,0.062612
0.865001,0.915856,0.510233,0.405624,1,0.172143
0.558941,0.838793,0.539123,0.29967,2,0.135382
0.116813,0.838793,0.483914,0.354879,2,0.0751034
0.269669,0.915856,0.456878,0.458979,1,0.0873062
0.0451805,0.915856,0.606968,0.308889,1,0.080906
2.11171,0.838793,0.050169,0.788624,2,0.0436709
0.00382973,0.915856,0.460505,0.455352,1,0.0879412
0.548218,0.838793,0.319862,0.518931,2,0.119614
0.978257,0.768214,0.561236,0.206978,3,0.079315
1.80211,0.703573,0.35215,0.351424,4,0.135881
